loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264856,25512259,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10264855,25512259,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10264854,25512259,191.875,18,ST ,1600X18 25P RR PAN ST F       
1/18/2024,10264858,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264857,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264864,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264863,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264862,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264861,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264860,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264859,25512226,107.875,21,DN ,0900X21 25P RR PAN DN SL      
1/18/2024,10264865,25512332,191.875,21,DN ,1600X21 25P RR PAN DN SL      
1/18/2024,10264869,25512329,95.875,21,BL ,0800X21 25G RR PAN BL SL      
1/18/2024,10264868,25512329,95.875,21,BL ,0800X21 25G RR PAN BL SL      
1/18/2024,10264867,25512329,95.875,21,BL ,0800X21 25G RR PAN BL SL      
1/18/2024,10264866,25512329,95.875,21,BL ,0800X21 25G RR PAN BL SL      
1/18/2024,10264870,25512229,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264873,25512229,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264872,25512229,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264871,25512229,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264874,25512191,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264875,25512191,191.875,21,BL ,1600X21 25G RR PAN BL SL      
1/18/2024,10264878,25512194,191.875,18,BL ,1600X18 25G RR PAN BL F       
1/18/2024,10264877,25512194,191.875,18,BL ,1600X18 25G RR PAN BL F       
1/18/2024,10264876,25512194,191.875,18,BL ,1600X18 25G RR PAN BL F       
1/18/2024,10264879,25512299,95.875,21,AL ,0800X21 25P RR PAN AL SL      
1/18/2024,10264892,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264891,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264890,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264889,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264888,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264887,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264886,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264885,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264883,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264882,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264881,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264880,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264884,25512288,191.875,21,AL ,1600X21 25P RR PAN AL SL      
1/18/2024,10264894,25512286,191.875,18,AL ,1600X18 25P RR PAN AL F       
1/18/2024,10264893,25512286,191.875,18,AL ,1600X18 25P RR PAN AL F       
1/18/2024,10264895,25512342,95.875,21,TT ,0800X21 25P RR PAN TT SL      
1/18/2024,10264896,25512452,119.875,21,TW ,1000X21 24G RR PAN TW SL      
1/18/2024,10264897,25512452,119.875,21,TW ,1000X21 24G RR PAN TW SL      
1/18/2024,10264900,25512455,119.875,18,TW ,1000X18 24G RR PAN TW F       
1/18/2024,10264899,25512455,119.875,18,TW ,1000X18 24G RR PAN TW F       
1/18/2024,10264898,25512455,119.875,18,TW ,1000X18 24G RR PAN TW F       
1/18/2024,10264902,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264901,25512487,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264920,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264919,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264918,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264917,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264916,25512491,107.875,21,TW ,0900X21 25P RR PAN TW SL      
